Title,Date1,Date2,Time,Location,Summary,Description,id
Kwanzaa,"Tuesday, December 31","Dec. 26 - Jan. 1, 2025",All Day,,,"  An African-American and Pan-African holiday celebrating family, community and culture, Kwanzaa is a secular observance with some religious participation. Each day of Kwanzaa celebrates a different life virtue.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9937
New Year’s Eve,"Tuesday, December 31","December 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9939
University Closed,"Tuesday, December 31","Dec. 30 - Jan. 2, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12399
Kwanzaa,"Wednesday, January 1, 2025","Dec. 26 - Jan. 1, 2025",Midnight,,,"  An African-American and Pan-African holiday celebrating family, community and culture, Kwanzaa is a secular observance with some religious participation. Each day of Kwanzaa celebrates a different life virtue.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9937
Hanukkah,"Wednesday, January 1, 2025","Dec. 25 - Jan. 2, 2025",All Day,,,"  Also known as the Festival of Lights, Hanukkah is an eight-day Jewish holiday celebrating the re-dedication of the Second Temple in Jerusalem in the second century A.D. It is often celebrated with the lighting of menorah candles, as well as traditional foods, games, and gifts.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9938
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, January 1, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
New Year’s Day,"Wednesday, January 1, 2025","January 1, 2025",All Day,,,"January 1 is a Federal Holiday, marking the first day of the new year according to the Gregorian calendar.",12517
University Closed,"Wednesday, January 1, 2025","Dec. 30 - Jan. 2, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12399
Hanukkah,"Thursday, January 2, 2025","Dec. 25 - Jan. 2, 2025",Midnight,,,"  Also known as the Festival of Lights, Hanukkah is an eight-day Jewish holiday celebrating the re-dedication of the Second Temple in Jerusalem in the second century A.D. It is often celebrated with the lighting of menorah candles, as well as traditional foods, games, and gifts.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9938
University Closed,"Thursday, January 2, 2025","Dec. 30 - Jan. 2, 2025",Midnight,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12399
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, January 2, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, January 3, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, January 4, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, January 5, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
(Men’s Basketball) Dickinson vs. Carnegie Mellon,"Monday, January 6, 2025","January 6, 2025",2 - 5 p.m.,,,(Men’s Basketball) Dickinson vs. Carnegie Mellon,11907
Fall Deans’ Lists Posted,"Monday, January 6, 2025","January 6, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12398
Feast of the Epiphany / Día de los Reyes / Theophany of our Lord,"Monday, January 6, 2025","January 6, 2025",All Day,,,"Though it is called by many names, on January 6, Christians of different traditions celebrate the visit of the three magi to worship Jesus Christ. The details of how this holy day is honored vary among Christian traditions and cultures, including Eastern Orthodoxy.",12491
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, January 6, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, January 7, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, January 8, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, January 9, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, January 10, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Carnegie Mellon Chamber Series: Vadim Gluzman @ CMU!,"Saturday, January 11, 2025",Today,7:30 - 9:30 p.m.,"Kresge Theatre, College of Fine Arts @ 5000 Forbes...",,,11552
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, January 11, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, January 12, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
First Day of Classes,"Monday, January 13, 2025","January 13, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12397
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, January 13, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, January 14, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Mahayana New Year,"Tuesday, January 14, 2025","January 14, 2025",All Day,,,The Buddhist Mahayana New Year is honored with meditation and self-reflection.,12492
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, January 15, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, January 16, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, January 17, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Mini-3 add, audit & tuition adjustment drop deadline","Friday, January 17, 2025","January 17, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12396
(M. Swimming and Diving) CMU Time Trials,"Saturday, January 18, 2025","January 18, 2025",All Day,,,"(M. Swimming and Diving) CMU Time Trials, 12:00 p.m.",11895
(W. Swimming and Diving) CMU Time Trials,"Saturday, January 18, 2025","January 18, 2025",All Day,,,"(W. Swimming and Diving) CMU Time Trials, 12:00 p.m.",11897
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, January 18, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, January 19, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, January 20, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Martin Luther King Day; No Classes & University Closed,"Monday, January 20, 2025","January 20, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12395
"Martin Luther King, Jr. Day","Monday, January 20, 2025","January 20, 2025",All Day,,,"Martin Luther King, Jr. Day is a Federal Holiday that occurs on the third Monday of January in commemoration of his birthday, which occurred on January 15.",12516
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, January 21, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, January 22, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, January 23, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
(Men’s Basketball) NYU vs. Carnegie Mellon,"Friday, January 24, 2025","January 24, 2025",5:30 - 8:30 p.m.,,,(Men’s Basketball) NYU vs. Carnegie Mellon,11890
(Women’s Basketball) NYU vs. Carnegie Mellon,"Friday, January 24, 2025","January 24, 2025",7:30 - 10:30 p.m.,,,(Women’s Basketball) NYU vs. Carnegie Mellon,11889
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, January 24, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Carnegie Mellon Contemporary Ensemble,"Saturday, January 25, 2025",Today,8 - 10 p.m.,"Kresge Theatre, College of Fine Arts @ 5000 Forbes...",,,11631
(Women’s Tennis) Duquesne vs. Carnegie Mellon,"Saturday, January 25, 2025","January 25, 2025",All Day,,,(Women’s Tennis) Duquesne vs. Carnegie Mellon,11888
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, January 25, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
(Women’s Basketball) Brandeis vs. Carnegie Mellon,"Sunday, January 26, 2025","January 26, 2025",Noon - 3 p.m.,,,(Women’s Basketball) Brandeis vs. Carnegie Mellon,11883
(Men’s Basketball) Brandeis vs. Carnegie Mellon,"Sunday, January 26, 2025","January 26, 2025",2 - 5 p.m.,,,(Men’s Basketball) Brandeis vs. Carnegie Mellon,11882
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, January 26, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, January 27, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Semester add, audit & tuition adjustment drop deadline","Monday, January 27, 2025","January 27, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12394
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, January 28, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, January 29, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lunar New Year,"Wednesday, January 29, 2025","January 29, 2025",All Day,,,"The Lunar New Year is an important East Asian holiday, in which families gather and prepare special foods. It culminates with the Lantern Festival, the date of which is determined each year by the lunar calendar.",12493
Carnegie Mellon Opera: Alcina,"Thursday, January 30, 2025",Today,8 - 10 p.m.,"Philip Chosky Theater, Purnell Center for the Arts...",,,11662
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, January 30, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Carnegie Mellon Opera: Alcina,"Friday, January 31, 2025",Today,8 - 10 p.m.,"Philip Chosky Theater, Purnell Center for the Arts...",,,11661
(M. Swimming and Diving) Western PA Invitational,"Friday, January 31, 2025","January 31, 2025",All Day,,,"(M. Swimming and Diving) Western PA Invitational, 4:00 p.m.",11880
(W. Swimming and Diving) Western PA Invitational,"Friday, January 31, 2025","January 31, 2025",All Day,,,"(W. Swimming and Diving) Western PA Invitational, 4:00 p.m.",11881
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, January 31, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Carnegie Mellon Opera: Alcina,"Saturday, February 1, 2025",Today,8 - 10 p.m.,"Philip Chosky Theater, Purnell Center for the Arts...",,,11660
(M. Swimming and Diving) Western PA Invitational,"Saturday, February 1, 2025","February 1, 2025",All Day,,,"(M. Swimming and Diving) Western PA Invitational, 12:00 p.m.",11873
(Men’s Tennis) Allegheny vs. Carnegie Mellon,"Saturday, February 1, 2025","February 1, 2025",All Day,,,(Men’s Tennis) Allegheny vs. Carnegie Mellon,11874
(W. Swimming and Diving) Western PA Invitational,"Saturday, February 1, 2025","February 1, 2025",All Day,,,"(W. Swimming and Diving) Western PA Invitational, 12:00 p.m.",11875
(Women’s Tennis) Indiana (PA) vs. Carnegie Mellon,"Saturday, February 1, 2025","February 1, 2025",All Day,,,(Women’s Tennis) Indiana (PA) vs. Carnegie Mellon,11876
(Women’s Tennis) Slippery Rock vs. Carnegie Mellon,"Saturday, February 1, 2025","February 1, 2025",All Day,,,(Women’s Tennis) Slippery Rock vs. Carnegie Mellon,11877
Black History Month,"Saturday, February 1, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, February 1, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Imbolc or St. Brigid’s Day,"Saturday, February 1, 2025","February 1, 2025",All Day,,,"Imbolc is a pagan sabbat that honors a spirit of renewal and new beginnings. This day is also celebrated by some Christians in or from the British Isles, who know the day as St. Brigid’s Day. There are various ways of observing the day, depending on one’s religious tradition.",12494
Carnegie Mellon Opera: Alcina,"Sunday, February 2, 2025",Today,2 - 4 p.m.,"Philip Chosky Theater, Purnell Center for the Arts...",,,11659
Black History Month,"Sunday, February 2, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, February 2, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Black History Month,"Monday, February 3, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, February 3, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Black History Month,"Tuesday, February 4, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, February 4, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Black History Month,"Wednesday, February 5, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, February 5, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Mini-3 course drop deadline; withdrawal grade assigned after this date,"Wednesday, February 5, 2025","February 5, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12393
Black History Month,"Thursday, February 6, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
