Title,Date1,Date2,Time,Location,Summary,Description,id
"Like, Totally Transformative: CMU in the 1980s","Tuesday, November 12","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Tuesday, November 12","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Data for Citizen Science and Developing Community Data,"Wednesday, November 13","November 13, 2024",9 - 10 a.m.,Online,"This workshop will identify how to best collect, ethically use and manage community-based data projects for citizen science use.","This workshop will identify how to best collect, ethically use and manage community-based data projects for citizen science use.",10230
17th International Exhibition of Botanical Art & Illustration,"Wednesday, November 13","November 13, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8443
Getting Started With R and R Studio Part 2,"Wednesday, November 13","November 13, 2024",10 - 11:30 a.m.,Online,"This two-part introductory workshop aims to teach basic concepts, skills, and tools for working with data in R so that you can get more done in less time, and apply concepts of reproducibility to your research.","This two-part introductory workshop aims to teach basic concepts, skills, and tools for working with data in R so that you can get more done in less time, and apply concepts of reproducibility to your research.",10231
Swartz Center for Entrepreneurship CONNECTS Seminar Series,"Wednesday, November 13","November 13, 2024",12:30 - 1:30 p.m.,"Swartz Center for Entrepreneurship, 3rd Level, Tep...",The CONNECTS seminar series enhances the experiential education of any individual interested in innovation and entrepreneurship.,The CONNECTS seminar series enhances the experiential education of any individual interested in innovation and entrepreneurship.,10173
Tips for Writing Literature Reviews Part 1,"Wednesday, November 13","November 13, 2024",3 - 4 p.m.,Online,Are you getting stuck in the reading and writing for lit reviews? Join this workshop to learn some tips for synthesizing information in a literature review or.in the introduction or discussion section of a research article.,Are you getting stuck in the reading and writing for lit reviews? Join this workshop to learn some tips for synthesizing information in a literature review or.in the introduction or discussion section of a research article.,10232
Gender in Process,"Wednesday, November 13","November 13, 2024",3:30 - 5 p.m. Weekly (to Dec 11),Morewood Gardens Group Room,"This is a supportive space for healing from internalized cissexism and transphobia, together.","This is a supportive space for healing from internalized cissexism and transphobia, together.",10906
Master’s Student Support Group,"Wednesday, November 13","November 13, 2024",4 - 5 p.m. Weekly (to Dec 13),"Highmark Center for Health, Wellness and Athletics...",The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.,The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.,10920
CMU Pantry Hours,"Wednesday, November 13","November 13, 2024",4:30 - 7:30 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10085
Anti-Hate Series: Ableism Keynote,"Wednesday, November 13","November 13, 2024",5 - 6:15 p.m.,"Simmons A, Tepper Building","This keynote address will explore how ableism appears in daily interactions and through systemic barriers, from subtle biases to broader societal challenges.","This keynote address will explore how ableism appears in daily interactions and through systemic barriers, from subtle biases to broader societal challenges.",12460
(Women’s Basketball) Washington & Jefferson vs. Carnegie Mellon,"Wednesday, November 13","November 13, 2024",5:30 - 8:30 p.m.,,,(Women’s Basketball) Washington &amp; Jefferson vs. Carnegie Mellon,11953
Voter Registration Assistance,"Wednesday, November 13","November 13, 2024",6 - 9 p.m. Weekly (to Dec 5),"Nexus of Civic Engagement, Cohon University Center...","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election.","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election.",12314
